(Quest is part of chapter: 森林书 第二章 梦中的苗圃)

# 「兰那罗的世界」


## Talk 1

兰耶师: 金色的那菈…
兰拉迦: 他们明白了，万物都将无可避免地死去。这时，「无留陀」就诞生了。此乃「死」之名，知晓它存在的，终究会死去。
兰拉迦: 无留陀的力量就是令一切走向死。而高大、阴暗、扭曲的东西就是无留陀选中的化身，带来死的使徒。
派蒙: 难怪优丹看到愚人众会觉得害怕…毕竟，又高，又穿着黑色的衣服…
兰拉迦: 当然了，在老身的故事中，无留陀的化身形态是不定的。也许是走兽。也许是飞鸟。也许是那菈。也许是疫病…
兰拉迦: 但故事究竟是故事，那已经不是老身的记忆了。
旅行者: 关于「恒素果」…
旅行者: …之后再说吧。
兰罗摩: 恒素果是充满了梦想和力量的果实！它没有惟耶之实那么强大，但是也很厉害。
兰拉迦: 以恒素果的力量供养「觉王之树」，就能结出惟耶之实。那就是草木的主神种下的伟大之树，也是兰那罗一族的原点。
派蒙: #嗯，旅行者说得也对。如果有什么不明白的，之后再问兰拉迦吧！
派蒙: #嗯，旅行者说得也对。如果有什么不明白的，之后再问兰拉迦吧！
派蒙: #嗯嗯…我想想，旅行者，我们有好多事情要做的样子。
旅行者: 我已经习惯了。
旅行者: 真麻烦。
旅行者: 能帮助拉娜就行。
派蒙: 要找觉树…呃，拿到恒什么来着？还要去*降诸魔山*找兰利…遮？没记错吧？然后，还有*水天丛林*的兰般度和*香醉坡*的兰纳真…
派蒙: 啊啊，可恶，兰那罗的名词好难记喔！
兰罗摩: #那菈旅行者，派蒙，这个，给你们。
兰罗摩: 我观察过。那菈要记东西的话，需要用这种东西才行。不然，那菈记忆就会混乱，也不能形成故事。
派蒙: 这是…有些年头的笔记本？
兰拉迦: #哦哦。是那菈法留纳留下的东西吗…交给同样是金色的旅行者，也是一种缘分吧。
兰拉迦: #她称之为「森林书」。因为是与我等兰那罗一同在林中冒险时，记下的故事。但那些故事已经失落了。
兰拉迦: #那菈旅行者，但愿它能为你提供帮助。老身很期待无忧节哪。

## Talk 3

派蒙: 但是…真的要唱歌吗？万一引来了骗骗花…
旅行者: 虽然说唱歌，但借助乐器也可以吧。
派蒙: 嗯，值得试试。我们去维摩庄问问，看阿玛兹亚爷爷有没有什么乐器吧！

## Talk 4

派蒙: 阿玛兹亚爷爷…
阿玛兹亚: 哦哦，是拉娜的朋友啊…很遗憾，拉娜那孩子，今天应该去巡林喽。
旅行者: （他似乎还不知道拉娜的事情…）
派蒙: （那我们就别跟爷爷说吧…）
派蒙: 嗯，我们知道啦！我们是想问问阿玛兹亚爷爷，有没有什么「乐器」，能借给我们用一用？
阿玛兹亚: 乐器吗…你们等一下，爷爷这就拿来。
黑屏文本: 阿玛兹亚从屋里取来了一副老旧的乐器。
派蒙: 看起来…像是蒙德风格的乐器呢！阿玛兹亚爷爷，能借给我们吗？
阿玛兹亚: 好久好久以前…我当年在林子里遇到了一个吟游诗人。作为信物，她把琴留给了我。
阿玛兹亚: 「花园的梦，森林的记忆…石榴歌唱，苹果鼓掌…」
阿玛兹亚: 多好的曲子啊…
阿玛兹亚: 就借给你们吧，用琴声点亮林子里黑漆漆的地方，看看她能不能听到…
旅行者: 我们会好好保管的。
派蒙: 嗯！我们会还给你的，阿玛兹亚爷爷！谢谢！
旅行者: 我们会好好演奏的。
旅行者: （既然如此，我们保密吧…）

## Talk 5

派蒙: 这个地方…就像村子一样…
派蒙: #旅行者，还记得我们和拉娜露营的时候，看到的石头小屋吗？
旅行者: 不记得了。
派蒙: 就是那些圆滚滚的小房子啦。
派蒙: 这里到处都是，简直就像小人族的国家一样…
派蒙: 这里就是兰拉娜说的「桓那兰那」的话，那看来就是兰那罗的家园了吧…
旅行者: 但是一个人也没有。
派蒙: 嗯…该不会是看到我们，就躲起来了吧？
旅行者: 也许需要用上兰拉娜的曲子…
派蒙: 啊，对耶！就像她说的那样…
派蒙: 是叫「大梦的曲调」吗？记得她说，要唱响大梦的曲调…「进入我们的梦、我们的世界。」
旅行者: 咳咳，那我要唱了…
派蒙: 嗯…万一引来骗骗花怎么办？还是用乐器演奏试试吧！
派蒙: #嗯！我很期待喔，无论是旅行者的演出，还是「兰那罗的世界」。
旅行者: 还是用乐器弹奏试试吧…
旅行者: 能感觉到视线…
派蒙: #嗯…我没感觉到耶！不过，旅行者一向比较敏锐…
派蒙: 这么说来，或许应该像兰拉娜说的那样，唱她教你的曲子…
旅行者: 圆滚滚的那些…

## Talk 6

兰伽卢: 需要高兴的毗波耶。可是，兰那库拉还没回来，唔…

## Talk 7

派蒙: 欸，是兰那罗…
兰罗摩 (？？？): 噫…不要抓我，我会给那菈「暴葬」…
派蒙: 「暴葬」是什么啦…话说我们不会抓你的啦！别害怕！
派蒙: #我叫派蒙，他是旅行者，是好那菈！你呢？
兰罗摩 (？？？): 呼…是好那菈，太好了。嗯，是兰拉娜把曲子教给你们的吧。
兰罗摩: 我是兰罗摩。虽然兰拉娜相信你们，但是大家看到有那菈来到「桓那兰那」，很害怕。
旅行者: 你不害怕吗？
兰罗摩: 嗯。本来很害怕，但是，金色的那菈到过很多地方。和你一起的小小的蒲公英、小小的孢子，都说，这是个很好很好的那菈。
派蒙: 哇，兰那罗可以和孢子之类的植物交流吗？
旅行者: 孢子不是植物…
兰罗摩: #那菈旅行者明白，派蒙错了。如果，在森林里大声说这样的话，植物会伤心、孢子会生气。然后，可能会变成蕈兽。
派蒙: 可恶！不要在意这种细节啦！
派蒙: 话说回来，这就是桓那兰那吗？总感觉和我们之前找到宝藏的地方很像，但是又不太一样。虽然有个好大的石头房子，但…
旅行者: 有点失望？
派蒙: 和想象的不太一样呢！我还以为，桓那兰那是热闹的兰那罗村子，大家都在跳兰那罗舞、吃兰那罗大餐、做兰那罗委托什么的…
旅行者: 还有兰那罗凯瑟琳小姐？
派蒙: …倒也没想到那个份上啦！
兰罗摩: ？
兰罗摩: #大家都在桓那兰那。只不过，因为大家都很害怕，所以，虽然那菈旅行者是金色的，但现在还不能让你们进来。
旅行者: 「金色的」…？
派蒙: 那银色呢？银色不好吗？
兰罗摩: 银色，像月亮一样的颜色，很好很好。
派蒙: 嘿嘿…不过，这么说来，这里不是桓那兰那吗？
兰罗摩: 这里不是桓那兰那。啊，应该说，这里是桓那兰那，但不是真的。
旅行者: 到底是不是桓那兰那…
兰罗摩: #那菈旅行者帮助兰那罗，大家就会不怕，就能进入真正的桓那兰那。跟我来吧。「帮助兰那罗，就会获得『暴葬』」。
派蒙: 我明白了，你想说的是「宝藏」吧！没问题，我们会帮忙的！
旅行者: 「金色」是什么…很稀有的意思吗？
派蒙: 那银色呢？银色稀有吗？
兰罗摩: 银色，像月亮一样的颜色，很好很好。
派蒙: 嘿嘿…不过，这么说来，这里不是桓那兰那吗？
旅行者: 这里不就是桓那兰那？
旅行者: 还有兰那罗纪念品商店？
旅行者: 还有兰那罗侦察骑士…
旅行者: 好方便！
兰罗摩: 真奇怪，孢子不是植物。如果，在森林里大声说这样的话，植物会伤心、孢子会生气。然后，可能会变成蕈兽。
旅行者: 这就是桓那兰那？
派蒙: 唔…总感觉和我们之前找到宝藏的地方很像，但是又不太一样。虽然有个好大的石头房子，但是…

## Talk 8

兰玛尼: 用那菈的话该怎么说…「童叟无欺」？不懂，完全不懂。

## Talk 9

兰罗摩: 你看，「桓那吉」，一定要小心…就算和他们说话，他们也只会生气，然后噗噗冒火。
派蒙: …什么嘛，只是骗骗花而已啊！
兰罗摩: 很危险的！很危险的！我们快走吧！趁桓那吉还没发现我们！
旅行者: 噫！好可怕！
派蒙: …你不会真的害怕骗骗花吧？
派蒙: #总之，兰罗摩别担心，我们会帮忙的！对吧，旅行者？
旅行者: 好吧。
兰罗摩: #呜呜，一定要小心，那菈旅行者。
旅行者: 可以是可以。
旅行者: 既然是为了帮助拉娜…
派蒙: 嗯。为了帮助拉娜，我们要早些进入桓那兰那才行。
旅行者: 没什么大不了的…

## Talk 10

兰犍多: 兰犍多一定是脚程最快的兰那罗，跟长鬓虎比赛也不会输。
兰犍多: 如果能在跑起来的长鬓虎背上跑…

## Talk 11

派蒙: 好了，忙也帮了！兰罗摩，说好的宝藏呢？
兰罗摩: 「宝藏」不是让那菈帮忙的咒语吗？
派蒙: 为什么我一点也不惊讶…
旅行者: 震惊！我被骗了！
派蒙: 你还真的以为兰罗摩有准备宝藏喔！
派蒙: 不过，兰罗摩，你是怎么学到「宝藏」这个词的呀？
兰罗摩: 我观察过那菈。我发现，那菈只要听说「宝藏」，就会变得很好，很愿意帮助其他的那菈。
旅行者: 也有那菈会因为宝藏变坏。
兰罗摩: #嗯，原来如此。学到了很多事情，谢谢你们，那菈旅行者和派蒙。
兰罗摩: 你们好厉害，帮助了兰那罗，是好那菈。这样，进入桓那兰那，大家就不会害怕了。
兰罗摩: 在「修梨薜那」面前，就能通过兰拉娜的歌，进入桓那兰那了。
旅行者: 为了宝藏帮忙的那菈也不一定好。
旅行者: 确实像派蒙就会上当。
派蒙: 喂！宝藏可是好东西，不要看不起宝藏！
旅行者: 我也是…

## Talk 12

兰纳迦: 耶然草…必须取回。

## Talk 13

兰梨娄: 兰难世，输了就是输了，不要像和强风对抗的硬枝，折断自己，没有好处。
兰难世: 兰梨娄！等到月亮下去，太阳上来，再来比试！

## Talk 14

派蒙: 欸？这就是桓那兰那…好多兰那罗…
旅行者: 好像是同一个地方，但是…
派蒙: 嗯嗯我懂！感觉完全不一样！
派蒙: 不过，既然按照兰拉娜的说法，已经到了桓那兰那，那接下来就是取得惟耶之实帮助拉娜了。
兰罗摩: 惟耶之实吗…我听过它的故事。
兰罗摩: 嗯。总之，这里就是真正的桓那兰那。但准确来说是「玛哈桓那兰那薜那」…
派蒙: 好、好长的名字！而且「那」字好多！
兰罗摩: 嗯。不过因为名字太长，所以我们一般不这样称呼它。用那菈的话来说…
兰罗摩: 啊，对了，是「梦中的兰那罗森林」这样的意思。
派蒙: 「梦」…也就是说…
旅行者: 也就是说刚刚的桓那兰那才是现实？
兰罗摩: 嗯。那是好久好久以前的故事，那时候我连种子都还不是，还在沙恒中沉睡。但桓那兰那毁灭一次后，我们就住在这个梦里。
派蒙: 原来还有这样的过去…
兰罗摩: 很可怕的！听说，天空都变成了黑色，大树像大风吹过的原野上的草一样，全部倒下了。然后，到处都是很吓人的怪物。
兰罗摩: 幸好那些都是故事，不是记忆。总之，如果要离开桓那兰那的梦，就对着修梨薜那唱大梦的曲调。想要回来的话，也一样。
兰罗摩: 跟我来吧。惟耶之实的事情，兰拉迦会想办法的。
旅行者: 也就是说我们现在在梦中？
旅行者: 我们需要「惟耶之实」。
派蒙: 嗯，按照兰拉娜的说法，我们要到桓那兰那取得惟耶之实。这样才能帮助拉娜。

## Talk 15

派蒙: 欸？这里就是桓那兰那…好多兰那罗呀…
旅行者: 好像是同一个地方，但是…
旅行者: 我们需要「惟耶之实」。
派蒙: 嗯嗯我懂！感觉完全不一样！
派蒙: 不过，既然按照兰拉娜的说法，已经到了桓那兰那，那接下来就是取得惟耶之实帮助拉娜了。
派蒙: 嗯，按照兰拉娜的说法，我们要到桓那兰那取得惟耶之实。这样才能帮助拉娜。
兰罗摩: 惟耶之实吗…我明白了。
兰罗摩: 嗯。总之，这里就是真正的桓那兰那。但准确来说是「玛哈桓那兰那薜那」…
派蒙: 好、好长的名字！而且「那」字好多！
兰罗摩: …不过因为名字太长，所以我们一般不这样称呼它。用那菈的话来说…啊，对了，是「伟大之梦的桓那兰那」这样的意思。
派蒙: #「梦」…这么说来，之前我们在那个学者那边遇到了兰那罗，旅行者似乎也做了个梦…
旅行者: 也就是说刚刚的桓那兰那才是现实？
旅行者: 也就是说我们现在在梦中？
兰罗摩: 嗯。那是好久好久以前的故事，那时候我连种子都还不是，还在沙恒中沉睡。但桓那兰那毁灭一次后，我们就住在这个梦里。
派蒙: 原来还有这样的过去…
兰罗摩: 很可怕的！听说，天空都变成了黑色，大树像大风吹过的原野上的草一样，全部倒下了。然后，到处都是很吓人的怪物。
兰罗摩: 幸好那些都是故事，不是记忆。总之，如果要离开桓那兰那的梦，就对着修梨薜那唱大梦的曲调。想要回来的话，也一样。
兰罗摩: 跟我来吧。惟耶之实的事情，兰拉迦会想办法的。

## Talk 16

兰拉迦: #哎呀，是那菈…真的，好久没见过了。好高大，而且金灿灿的。和她说的一样。欢迎来到桓那兰那。
兰罗摩: #嗯，那菈旅行者和派蒙，他们很厉害！就连桓那吉也不怕。
兰拉迦: 哦哦！那可真了不起。通过兰拉娜的曲子来到桓那兰那的那菈，那一定是兰拉娜信任的好那菈。
派蒙: 奇怪，为什么你们都知道是兰拉娜让我们来的呀？
兰拉迦: 每个兰那罗都有自己的歌，每个兰那罗的歌曲调都不同。所以，是谁回家了，我们都能分辨出来。
兰拉迦: 兰拉娜一直在道成林、阿陀河谷，与那菈为友，老身已经许久未见到了。听见歌声，大家原本以为兰拉娜回来了，都很开心。
兰拉迦: #不过，进入桓那兰那的却是那菈，又让大家都很害怕。所以老身就请兰罗摩帮忙，让大家知道，那菈旅行者是好那菈。
派蒙: 原来如此原来如此。不过，依照兰罗摩的说法，我们解决的是梦境之外的问题，有帮助吗？对于玛…玛哈桓那…
派蒙: 可恶！兰那罗的命名法，好难记喔！
旅行者: 「玛哈桓那兰那薜那」？
兰罗摩: #梦中的桓那兰那，是梦外面的桓那兰那的影子。那菈旅行者解决了外面的问题，梦中就会变得更好。谢谢你们。
派蒙: #原来如此…咳咳，还是讲正事吧！旅行者，关于拉娜的事情…
旅行者: 我们需要「惟耶之实」。
派蒙: 我们需要惟耶之实，因为兰拉娜要帮助她很重要的朋友，也是我们很重要的朋友…
黑屏文本: 向两人——应该说是两个兰那罗，说明了个中缘由。
兰拉迦: 惟耶之实吗…老身上一次准备惟耶之实的时候，是好久好久以前。听说，当时那个金色的那菈还在，兰穆护昆达也在。
兰拉迦: 当时老身还有许许多多的故事、许许多多的梦。那是很久以前的故事…
派蒙: （兰拉迦看起来像是要说故事了！）
旅行者: （看看他要说什么吧。）
兰拉迦: 那些故事，已经不是老身的记忆了，也不应该由老身述说。还是回到惟耶之实的问题上吧。
派蒙: 拉娜因为「无留陀」，受了很严重的伤害，要尽快拿到惟耶之实才行…
兰罗摩: 兰拉娜是很古老很古老的兰那罗，兰迦拉梨很厉害很厉害的！所以，那菈拉娜情况是不会恶化的。毕竟，再怎么说，惟耶之实…
兰拉迦: 你说得不错，有兰拉娜在，那菈拉娜情况不会变化。不过，兰罗摩你要记得，那菈不像树木，他们时间更少，也更容易受伤。
兰罗摩: #也对。嗯！既然是那菈旅行者和派蒙的愿望，又是兰拉娜的朋友、兰拉娜的愿望，那就应该帮忙。
旅行者: 那就麻烦你们了。
兰拉迦: #话虽如此，结出惟耶之实，需要那菈旅行者和派蒙的帮助…
兰拉迦: 我们要举办「无忧节」。但还有许多兰那罗，在森林中徘徊。你们有了桓那兰那的气味，应该可以接近他们、让他们回来了。
旅行者: 真的可以这么悠闲吗…
派蒙: 刚刚兰拉迦也说了，那菈的时间没有那么多，应该要尽快取得惟耶之实才对吧？
兰罗摩: #那菈旅行者、派蒙，惟耶之实的故事中说，要结出健康、强壮、充满力量的惟耶之实，就要过无忧节才行。
兰罗摩: 不管多么悲伤，只要兰那罗的那菈朋友，和那菈的兰那罗朋友，一起欢快地度过无忧节，就能为惟耶之实的结果积累力量。
派蒙: 好吧…虽然好像理由有点勉强，不过就像「兰迦拉梨」很不可思议一样，可能这就是「兰那仪式」或者「兰那节庆」什么的。
兰罗摩: 啊！既然要过无忧节了，应该要把大家叫回来。不久前，兰般度他们去了*水天丛林*。还有兰纳真他们，应该还在*香醉坡*那边…
兰拉迦: #现在大家应该不惧怕那菈旅行者和派蒙了，不妨成为他们的朋友吧。老身曾经拥有过那菈朋友，至今都十分感念。
兰拉迦: 除此之外，还需要你们从「觉树之堂」的「莎兰树」上，*取得「恒素果」*。三枚应该就足够了。
派蒙: 我记一下，觉树…莎兰树…恒…
兰拉迦: #但是老身已经许久不能离开梦了，也不记得觉树之堂在什么地方。就由兰罗摩与那菈旅行者去寻找吧。
兰罗摩: #嗯。和那菈旅行者和派蒙一起冒险！
派蒙: 和兰罗摩一起冒险！
派蒙: 这么说来，维摩庄的事情也让人很在意。能请兰那罗们帮忙调查一下，关于想要危害孩子们的家伙的事情吗？
兰拉迦: 哎呀呀，听上去像是「无留陀的化身」，才能干得出来的坏事。他们不但危害兰那罗，连小那菈也会伤害…
兰罗摩: 维摩庄附近的话，几个太阳和月亮之前，我在*降诸魔山*那边见到了兰利遮。他在调查什么坏事。
兰罗摩: #可能和那菈旅行者和派蒙想要找的坏那菈有关！
派蒙: 嗯嗯，原来如此。毕竟兰那罗神出鬼没，说不定见过什么可疑的事情呢！然后，我们还有不少想了解的事情…
旅行者: 关于「恒素果」…
兰罗摩: 恒素果是充满了梦想和力量的果实！它没有惟耶之实那么强大，但是也很厉害。
兰拉迦: 以恒素果的力量供养「觉王之树」，就能结出惟耶之实。那是树王亲自种下的伟大之树，也是兰那罗一族的原点。
旅行者: 关于「无留陀的化身」…
派蒙: 对呀，刚刚开始就很在意了，因为优丹好像也提过类似的东西…
兰拉迦: 那是很久以前的故事了…
兰拉迦: 在过去，兰那罗行走在大地上，和那菈及万物为友，而林中也没有无留陀。直到在很多很多个月亮以前的一次灾难…
兰拉迦: 树王归还了沙恒，无留陀开始在地上肆虐。而丛林终于恢复生机后，兰那罗为了保护自己，将真正的桓那兰那藏在了梦中。
派蒙: 唔…所以无留陀是在那时候开始，就出现的吗？
兰拉迦: 森林本不知死为何物。直到有一天，树想起大地中充满了凋败的花、死去的兽。
兰拉迦: 正如在同一天，大地想起自己曾经或将要吞食漆黑的毒血。河流想到太阳降下，蒸发了所有水的红色的世界。
兰拉迦: 他们明白了，万物都将无可避免地死去。这时，「无留陀」就诞生了。此乃「死」之名，知晓它存在的，终究会死去。
兰拉迦: 无留陀的力量就是令一切走向死。而高大、阴暗、扭曲的东西就是无留陀选中的化身，带来死的使徒。
派蒙: 难怪优丹看到愚人众会觉得害怕…毕竟，又高，又穿着黑色的衣服…
兰拉迦: 当然了，在故事中，无留陀的化身形态是不定的。也许是走兽。也许是飞鸟。也许是那菈。也许是疫病…
兰拉迦: 但故事究竟是故事，那已经不是老身的记忆了。
派蒙: #嗯嗯…我想想，旅行者，我们有好多事情要做的样子。
旅行者: 我已经习惯了。
派蒙: 要找觉树…呃，拿到恒什么来着？还要去*降诸魔山*找兰利…遮？没记错吧？然后，还有*水天丛林*的兰般度和*香醉坡*的兰纳真…
派蒙: 啊啊，可恶，兰那罗的名词好难记喔！
兰罗摩: #那菈旅行者，派蒙，这个，给你们。
兰罗摩: 我观察过。那菈要记东西的话，需要用这种东西才行。不然，那菈记忆就会混乱，也不能形成故事。
派蒙: 这是…有些年头的笔记本？
兰拉迦: #哦哦。是那菈法留纳留下的东西吗…交给同样是金色的旅行者，也是一种缘分吧。
兰拉迦: #她称之为「森林书」。因为是与我等兰那罗一同在林中冒险时，记下的故事。但那些故事已经失落了。
兰拉迦: #那菈旅行者，但愿它能为你提供帮助。老身很期待无忧节哪。
旅行者: 真麻烦。
旅行者: 能帮助拉娜就行。
旅行者: …之后再说吧。
派蒙: #嗯，旅行者说得也对。如果有什么不明白的，之后再问兰拉迦吧！
旅行者: 关于「无留陀的化身」…
派蒙: 对呀，刚刚开始就很在意了，因为优丹好像也提过类似的东西…
兰拉迦: 那是很久以前的故事了…
兰拉迦: 在过去，兰那罗行走在大地上，和那菈及万物为友，而林中也没有无留陀。直到在很多很多个月亮以前的一次灾难…
兰拉迦: 树王归还了沙恒，无留陀开始在地上肆虐。而丛林终于恢复生机后，兰那罗为了保护自己，将真正的桓那兰那藏在了梦中。
派蒙: 唔…所以无留陀是在那时候开始，就出现的吗？
兰拉迦: 森林本不知死为何物。直到有一天，树想起大地中充满了凋败的花、死去的兽。
兰拉迦: 正如在同一天，大地想起自己曾经或将要吞食漆黑的毒血。河流想到太阳降下，蒸发了所有水的红色的世界。
