# Materials: MATERIAL_TALENT

## Memory of Eternal Flames

The missing star from the Talents of a Pyro-aligned Traveler.

## Memory of Running Stream

The missing star from the Talents of a Hydro-aligned Traveler.

## Memory of Flourishing Green

The missing star from the Talents of a Dendro-aligned Traveler.

## Memory of Violet Flash

The missing star from the Talents of an Electro-aligned Traveler.

## Memory of Roving Gales

The missing star from the Talents of an Anemo-aligned Traveler.

## Memory of Piercing Frost

The missing star from the Talents of a Cryo-aligned Traveler.

## Memory of Immovable Crystals

The missing star from the Talents of a Geo-aligned Traveler.

## Kamisato Ayaka's Stella Fortuna

Kamisato Ayaka's Constellation Activation Material

## Jean's Stella Fortuna

Arataki Itto's Constellation Activation Material

## Yae Miko's Stella Fortuna

Yae Miko's Constellation Activation Material

## Shikanoin Heizou's Stella Fortuna

Shikanoin Heizou's Constellation Activation Material

## Yelan's Stella Fortuna

Yelan's Constellation Activation Material

## Kirara's Stella Fortuna

Kirara's Constellation Activation Material

## Aloy's Stella Fortuna

Aloy's Constellation Activation Material

## Shenhe's Stella Fortuna

Shenhe's Constellation Activation Material

## Yun Jin's Stella Fortuna

Yun Jin's Constellation Activation Material

## Kuki Shinobu's Stella Fortuna

Kuki Shinobu's Constellation Activation Material

## Kamisato Ayato's Stella Fortuna

Kamisato Ayato's Constellation Activation Material

## Collei's Stella Fortuna

Collei's Constellation Activation Material

## Dori's Stella Fortuna

Dori's Constellation Activation Material

## Tighnari's Stella Fortuna

Tighnari's Constellation Activation Material

## Nilou's Stella Fortuna

Nilou's Constellation Activation Material

## Cyno's Stella Fortuna

Cyno's Constellation Activation Material

## Candace's Stella Fortuna

Candace's Constellation Activation Material

## Nahida's Stella Fortuna

Nahida's Constellation Activation Material

## Layla's Stella Fortuna

Layla's Constellation Activation Material

## Wanderer's Stella Fortuna

Wanderer's Constellation Activation Material

## Faruzan's Stella Fortuna

Faruzan's Constellation Activation Material

## Yaoyao's Stella Fortuna

Yaoyao's Constellation Activation Material

## Alhaitham's Stella Fortuna

Alhaitham's Constellation Activation Material

## Dehya's Stella Fortuna

Dehya's Constellation Activation Material

## Mika's Stella Fortuna

Mika's Constellation Activation Material

## Kaveh's Stella Fortuna

Kaveh's Constellation Activation Material

## Baizhu's Stella Fortuna

Baizhu's Constellation Activation Material

## Lynette's Stella Fortuna

Lynette's Constellation Activation Material

## Lyney's Stella Fortuna

Lyney's Constellation Activation Material

## Freminet's Stella Fortuna

Freminet's Constellation Activation Material

## Wriothesley's Stella Fortuna

Wriothesley's Constellation Activation Material

## Neuvillette's Stella Fortuna

Neuvillette's Constellation Activation Material

## Charlotte's Stella Fortuna

Charlotte's Constellation Activation Material

## Furina's Stella Fortuna

Furina's Constellation Activation Material.

## Chevreuse's Stella Fortuna

Chevreuse's Constellation Activation Material

## Navia's Stella Fortuna

Navia's Constellation Activation Material

## Gaming's Stella Fortuna

Gaming's Constellation Activation Material

## Xianyun's Stella Fortuna

Xianyun's Constellation Activation Material

## Chiori's Stella Fortuna

Chiori's Constellation Activation Material

## Sigewinne's Stella Fortuna

Sigewinne's Constellation Activation Material

## Arlecchino's Stella Fortuna

Arlecchino's Constellation Activation Material

## Sethos's Stella Fortuna

Sethos's Constellation Activation Material

## Clorinde's Stella Fortuna

Clorinde's Constellation Activation Material

## Emilie's Stella Fortuna

Emilie's Constellation Activation Material

## Kachina's Stella Fortuna

Kachina's Constellation Activation Material

## Kinich's Stella Fortuna

Kinich's Constellation Activation Material

## Mualani's Stella Fortuna

Mualani's Constellation Activation Material

## Xilonen's Stella Fortuna

Xilonen's Constellation Activation Material

## Chasca's Stella Fortuna

Chasca's Constellation Activation Material

## Ororon's Stella Fortuna

Ororon's Constellation Activation Material

## Mavuika's Stella Fortuna

Mavuika's Constellation Activation Material

## Citlali's Stella Fortuna

Citlali's Constellation Activation Material

## Lan Yan's Stella Fortuna

Lan Yan's Constellation Activation Material

## Yumemizuki Mizuki's Stella Fortuna

Yumemizuki Mizuki's Constellation Activation Material

## Iansan's Stella Fortuna

Iansan's Constellation Activation Material

## Varesa's Stella Fortuna

Varesa's Constellation Activation Material

## Escoffier's Stella Fortuna

Escoffier's Constellation Activation Material

## Ifa's Stella Fortuna

Ifa's Constellation Activation Material

## Skirk's Stella Fortuna

Skirk's Constellation Activation Material

## Dahlia's Stella Fortuna

Dahlia's Constellation Activation Material

## Ineffa's Stella Fortuna

Ineffa's Constellation Activation Material
