# 斑斓色彩追逐战

## Talk 0

Missing text (0)
> 班尼特: 比须弥的跳跳菇还有弹性的护具，就完工了！据说有了它，一天爬两回图兰大火山，关节和脚底都不会受伤！
> 旅行者: 听起来工艺也不复杂？
> 班尼特: 哎呀，换在其他地方，我在熬煮的那一环，就会败下阵来。
> 班尼特: 要么是锅里混进去不知道什么成分，煮到一半就变质，要么就是整口锅都炸掉，碎片到处乱崩…
> 班尼特: 如果我自己去买，尺码合不合适另说，十有八九会买到次品。
> 班尼特: 关键，也不是老板有意卖给我劣质货，而是他们自己都没检查出问题…我只能自认倒霉。
> 班尼特: 所以以前，我还从没搞到过好用的护具呢，这事说大也不大，说小，也还确实对冒险的体验有影响。
> 班尼特: 这次来度假村，我就地取材，总算做出了最满意的作品…
> 班尼特: 真是太舒心了…原来踏上好用的鞋垫，戴上弹性正合适的护膝再跑步，是这种感觉！

Option 7:

> 旅行者: 还有什么好消息吗？
> 班尼特: 这个呀，让我想想…
> 班尼特: …在纳塔，我的运气实在太好了，所以可以尝试许多以前不敢深入研究的事…
> 班尼特: 比如——给自己做一组超合适的冒险护具！护腕护膝绑腿和鞋垫都要有！
> 旅行者: 为什么是这个？
> 班尼特: #旅行者也要留意哦，冒险的过程中，保护关节和双脚是一等一的大事。
> 班尼特: 背着重物爬坡，会对膝盖持续施加压力，通过崎岖的地形时，要防止一脚没踩稳，扭伤脚踝…
> 班尼特: 长途步行中，双脚也有可能比双腿先撑不住，需要有效避免疲惫，甚至是无形受伤。
> 班尼特: 减震和保护作用都不错的护具，就能在这种时候派上用场。
> 旅行者: 平常没怎么注意过。
> 班尼特: 长远来看，对自己有利的道具，永远不嫌多嘛！
> 班尼特: 也可以听听普通冒险家们许多年来不断试错，总结出的窍门——
> 班尼特: 把诸如嘟嘟莲和肉龙掌一类的植物，切成小块后，捣碎在面粉里，放进锅中，加入磐石精油熬煮两天。
> 班尼特: 然后倒进模具，放在冰雾花旁边冷却一晚，稍微修修外形，削去不平的地方…
> 班尼特: 比须弥的跳跳菇还有弹性的护具，就完工了！据说有了它，一天爬两回图兰大火山，关节和脚底都不会受伤！
> 旅行者: 听起来工艺也不复杂？
> 班尼特: 哎呀，换在其他地方，我在熬煮的那一环，就会败下阵来。
> 班尼特: 要么是锅里混进去不知道什么成分，煮到一半就变质，要么就是整口锅都炸掉，碎片到处乱崩…
> 班尼特: 如果我自己去买，尺码合不合适另说，十有八九会买到次品。
> 班尼特: 关键，也不是老板有意卖给我劣质货，而是他们自己都没检查出问题…我只能自认倒霉。
> 班尼特: 所以以前，我还从没搞到过好用的护具呢，这事说大也不大，说小，也还确实对冒险的体验有影响。
> 班尼特: 这次来度假村，我就地取材，总算做出了最满意的作品…
> 班尼特: 真是太舒心了…原来踏上好用的鞋垫，戴上弹性正合适的护膝再跑步，是这种感觉！

Option 8:

> 旅行者: 还有什么好消息吗？
> 班尼特: 这个呀，让我想想…
> 班尼特: …在纳塔，我的运气实在太好了，所以可以尝试许多以前不敢深入研究的事…
> 班尼特: 比如——给自己做一组超合适的冒险护具！护腕护膝绑腿和鞋垫都要有！
> 旅行者: 没想到的道具…
> 班尼特: #旅行者也要留意哦，冒险的过程中，保护关节和双脚是一等一的大事。
> 班尼特: 背着重物爬坡，会对膝盖持续施加压力，通过崎岖的地形时，要防止一脚没踩稳，扭伤脚踝…
> 班尼特: 长途步行中，双脚也有可能比双腿先撑不住，需要有效避免疲惫，甚至是无形受伤。
> 班尼特: 减震和保护作用都不错的护具，就能在这种时候派上用场。
> 旅行者: 这么一说确实有道理。
> 班尼特: 长远来看，对自己有利的道具，永远不嫌多嘛！
> 班尼特: 也可以听听普通冒险家们许多年来不断试错，总结出的窍门——
> 班尼特: 把诸如嘟嘟莲和肉龙掌一类的植物，切成小块后，捣碎在面粉里，放进锅中，加入磐石精油熬煮两天。
> 班尼特: 然后倒进模具，放在冰雾花旁边冷却一晚，稍微修修外形，削去不平的地方…
> 班尼特: 比须弥的跳跳菇还有弹性的护具，就完工了！据说有了它，一天爬两回图兰大火山，关节和脚底都不会受伤！
> 旅行者: 虽然我不用这个也能爬好几回…
> 班尼特: 哎呀，换在其他地方，我在熬煮的那一环，就会败下阵来。
> 班尼特: 要么是锅里混进去不知道什么成分，煮到一半就变质，要么就是整口锅都炸掉，碎片到处乱崩…
> 班尼特: 如果我自己去买，尺码合不合适另说，十有八九会买到次品。
> 班尼特: 关键，也不是老板有意卖给我劣质货，而是他们自己都没检查出问题…我只能自认倒霉。
> 班尼特: 所以以前，我还从没搞到过好用的护具呢，这事说大也不大，说小，也还确实对冒险的体验有影响。
> 班尼特: 这次来度假村，我就地取材，总算做出了最满意的作品…
> 班尼特: 真是太舒心了…原来踏上好用的鞋垫，戴上弹性正合适的护膝再跑步，是这种感觉！

Option 9:

> 旅行者: 还有什么好消息吗？
> 班尼特: 这个呀，让我想想…
> 班尼特: …在纳塔，我的运气实在太好了，所以可以尝试许多以前不敢深入研究的事…
> 班尼特: 比如——给自己做一组超合适的冒险护具！护腕护膝绑腿和鞋垫都要有！
> 旅行者: 为什么是这个？
> 班尼特: #旅行者也要留意哦，冒险的过程中，保护关节和双脚是一等一的大事。
> 班尼特: 背着重物爬坡，会对膝盖持续施加压力，通过崎岖的地形时，要防止一脚没踩稳，扭伤脚踝…
> 班尼特: 长途步行中，双脚也有可能比双腿先撑不住，需要有效避免疲惫，甚至是无形受伤。
> 班尼特: 减震和保护作用都不错的护具，就能在这种时候派上用场。
> 旅行者: 这么一说确实有道理。
> 班尼特: 长远来看，对自己有利的道具，永远不嫌多嘛！
> 班尼特: 也可以听听普通冒险家们许多年来不断试错，总结出的窍门——
> 班尼特: 把诸如嘟嘟莲和肉龙掌一类的植物，切成小块后，捣碎在面粉里，放进锅中，加入磐石精油熬煮两天。
> 班尼特: 然后倒进模具，放在冰雾花旁边冷却一晚，稍微修修外形，削去不平的地方…
> 班尼特: 比须弥的跳跳菇还有弹性的护具，就完工了！据说有了它，一天爬两回图兰大火山，关节和脚底都不会受伤！
> 旅行者: 虽然我不用这个也能爬好几回…
> 班尼特: 哎呀，换在其他地方，我在熬煮的那一环，就会败下阵来。
> 班尼特: 要么是锅里混进去不知道什么成分，煮到一半就变质，要么就是整口锅都炸掉，碎片到处乱崩…
> 班尼特: 如果我自己去买，尺码合不合适另说，十有八九会买到次品。
> 班尼特: 关键，也不是老板有意卖给我劣质货，而是他们自己都没检查出问题…我只能自认倒霉。
> 班尼特: 所以以前，我还从没搞到过好用的护具呢，这事说大也不大，说小，也还确实对冒险的体验有影响。
> 班尼特: 这次来度假村，我就地取材，总算做出了最满意的作品…
> 班尼特: 真是太舒心了…原来踏上好用的鞋垫，戴上弹性正合适的护膝再跑步，是这种感觉！

Option 10:

> 旅行者: 还有什么好消息吗？
> 班尼特: 这个呀，让我想想…
> 班尼特: …在纳塔，我的运气实在太好了，所以可以尝试许多以前不敢深入研究的事…
> 班尼特: 比如——给自己做一组超合适的冒险护具！护腕护膝绑腿和鞋垫都要有！
> 旅行者: 没想到的道具…
> 班尼特: #旅行者也要留意哦，冒险的过程中，保护关节和双脚是一等一的大事。
> 班尼特: 背着重物爬坡，会对膝盖持续施加压力，通过崎岖的地形时，要防止一脚没踩稳，扭伤脚踝…
> 班尼特: 长途步行中，双脚也有可能比双腿先撑不住，需要有效避免疲惫，甚至是无形受伤。
> 班尼特: 减震和保护作用都不错的护具，就能在这种时候派上用场。
> 旅行者: 平常没怎么注意过。
> 班尼特: 长远来看，对自己有利的道具，永远不嫌多嘛！
> 班尼特: 也可以听听普通冒险家们许多年来不断试错，总结出的窍门——
> 班尼特: 把诸如嘟嘟莲和肉龙掌一类的植物，切成小块后，捣碎在面粉里，放进锅中，加入磐石精油熬煮两天。
> 班尼特: 然后倒进模具，放在冰雾花旁边冷却一晚，稍微修修外形，削去不平的地方…
> 班尼特: 比须弥的跳跳菇还有弹性的护具，就完工了！据说有了它，一天爬两回图兰大火山，关节和脚底都不会受伤！
> 旅行者: 虽然我不用这个也能爬好几回…
> 班尼特: 哎呀，换在其他地方，我在熬煮的那一环，就会败下阵来。
> 班尼特: 要么是锅里混进去不知道什么成分，煮到一半就变质，要么就是整口锅都炸掉，碎片到处乱崩…
> 班尼特: 如果我自己去买，尺码合不合适另说，十有八九会买到次品。
> 班尼特: 关键，也不是老板有意卖给我劣质货，而是他们自己都没检查出问题…我只能自认倒霉。
> 班尼特: 所以以前，我还从没搞到过好用的护具呢，这事说大也不大，说小，也还确实对冒险的体验有影响。
> 班尼特: 这次来度假村，我就地取材，总算做出了最满意的作品…
> 班尼特: 真是太舒心了…原来踏上好用的鞋垫，戴上弹性正合适的护膝再跑步，是这种感觉！

Option 11:

> 旅行者: 还有什么好消息吗？
> 班尼特: 这个呀，让我想想…
> 班尼特: …在纳塔，我的运气实在太好了，所以可以尝试许多以前不敢深入研究的事…
> 班尼特: 比如——给自己做一组超合适的冒险护具！护腕护膝绑腿和鞋垫都要有！
> 旅行者: 为什么是这个？
> 班尼特: #旅行者也要留意哦，冒险的过程中，保护关节和双脚是一等一的大事。
> 班尼特: 背着重物爬坡，会对膝盖持续施加压力，通过崎岖的地形时，要防止一脚没踩稳，扭伤脚踝…
> 班尼特: 长途步行中，双脚也有可能比双腿先撑不住，需要有效避免疲惫，甚至是无形受伤。
> 班尼特: 减震和保护作用都不错的护具，就能在这种时候派上用场。
> 旅行者: 平常没怎么注意过。
> 班尼特: 长远来看，对自己有利的道具，永远不嫌多嘛！
> 班尼特: 也可以听听普通冒险家们许多年来不断试错，总结出的窍门——
> 班尼特: 把诸如嘟嘟莲和肉龙掌一类的植物，切成小块后，捣碎在面粉里，放进锅中，加入磐石精油熬煮两天。
> 班尼特: 然后倒进模具，放在冰雾花旁边冷却一晚，稍微修修外形，削去不平的地方…
> 班尼特: 比须弥的跳跳菇还有弹性的护具，就完工了！据说有了它，一天爬两回图兰大火山，关节和脚底都不会受伤！
> 旅行者: 虽然我不用这个也能爬好几回…
> 班尼特: 哎呀，换在其他地方，我在熬煮的那一环，就会败下阵来。
> 班尼特: 要么是锅里混进去不知道什么成分，煮到一半就变质，要么就是整口锅都炸掉，碎片到处乱崩…
> 班尼特: 如果我自己去买，尺码合不合适另说，十有八九会买到次品。
> 班尼特: 关键，也不是老板有意卖给我劣质货，而是他们自己都没检查出问题…我只能自认倒霉。
> 班尼特: 所以以前，我还从没搞到过好用的护具呢，这事说大也不大，说小，也还确实对冒险的体验有影响。
> 班尼特: 这次来度假村，我就地取材，总算做出了最满意的作品…
> 班尼特: 真是太舒心了…原来踏上好用的鞋垫，戴上弹性正合适的护膝再跑步，是这种感觉！


## Talk 2

瓦雷莎: 明妮明妮，看那只阿夏画出来的涂鸦，像不像打翻了枫达瓶…果汁洒在了烤蘑菇披萨上？
明妮: 真的欸！这个比喻太贴切了…
明妮: 想吃。
瓦雷莎: 我也想…不过，泡泡桔的风味，和蘑菇混合在一起，会不会有点怪？

Option 1:

> 旅行者: 那要不试试？
> 瓦雷莎: 咦？我是不是…蘑菇吃太多，出现幻觉了吗…
> 明妮: #不是幻觉哦，的确是旅行者！没想到还能在悠悠度假村见面！
> 旅行者: 你是叫…明妮来着？
> 明妮: 还记得我吗？太好了…感觉又得到了莫大的鼓舞…
> 瓦雷莎: 没错没错，也是我们「炽魂斗士特战队」的首席画师，现在正在创作《炽魂斗士战记》的外传作品。
> 瓦雷莎: 这次明妮可厉害了，一个人跟着冒险家们的车队来纳塔，出了个超级大远门！
> 旅行者: 那还真是长途跋涉。
> 明妮: #没事的，还要多亏旅行者、瓦雷莎和希诺宁姐姐，之前你们说服了我的爸爸妈妈，让他们不再那么苛刻。
> 明妮: 越野赛过后，我才找到机会，开始帮教会画公益宣传画，给一些书刊提供插图…
> 明妮: 后来，瓦雷莎把我创作的《炽魂斗士战记》联想故事寄给了八重堂，被著名插画师朝雾老师看到了。
> 明妮: 实在太好运了！朝雾老师非常认可我的画功，还给爸爸妈妈写了信。
> 明妮: 现在，爸爸妈妈也明白，我可以把自己喜爱的绘画当成正经的工作，投入再多时间都值得。
> 旅行者: 还算顺利嘛。
> 瓦雷莎: 我觉得，明妮可以自信一点，你的画功不是运气带来的，而是你自己每天努力的结果。
> 瓦雷莎: 就像…我现在还算不错的摔角技巧，也是跟着伊安珊教练一点点练出来的。
> 瓦雷莎: 朝雾小姐也参与了许多《炽魂斗士》系列作品的插画和漫画，直接和最严格的森子编辑推荐了明妮…
> 瓦雷莎: 正好，有一部《炽魂斗士战记》的外传作品，很长时间找不到画成漫画的合适画师。
> 瓦雷莎: 结果明妮做过笔试题后，直接拿到了九十多分，还破了招募的纪录呢！
> 旅行者: 那还真是厉害！
> 明妮: 谢…谢谢！
> 明妮: 但还不是庆祝的时候…我甚至都没拿出过正式的作品，就被选中来画这么一篇很有分量的连载，心里也很没底…
> 明妮: 我会一边磨砺画技，一边认真完成这部外传的。
> 明妮: 这次纳塔之行，除了和瓦雷莎、希诺宁姐姐还有妮佩卡见面，也是想尽量领略这里的文化，为作品做好考据！
> 瓦雷莎: 嘿嘿，最近我在圣火竞技场卖水果的时候，从龙遗物协会那边获得了不少…古物？
> 瓦雷莎: 总之，我更了解菲耶蒂娜和泰卡在历史上的形象了，甚至是他们龙伙伴和车队的细节！
> 瓦雷莎: 初稿也可以寄给我哦，我也来给你出建议！

Option 2:

> 旅行者: （不太想吃这个欸…先溜吧。）

Option 3:

> 旅行者: 那要不试试？
> 瓦雷莎: 咦？我是不是…蘑菇吃太多，出现幻觉了吗…
> 明妮: #不是幻觉哦，的确是旅行者！没想到还能在悠悠度假村见面！
> 旅行者: 这位是谁，好像没见过？
> 瓦雷莎: 我简单介绍一下，这位是我们「炽魂斗士特战队」的首席画师明妮，和我一样爱好漫画织卷的朋友。
> 瓦雷莎: 之前我们一起参加了「龙脊雪山越野赛」，还拿了很不错的名次呢！
> 瓦雷莎: 这次，为了画好一部漫画的外传，她专程来纳塔采风的！
> 旅行者: 那你们玩得开心。
> 明妮: 好…也不打扰您了。
> 瓦雷莎: #那旅行者，有空的话，还请再来「沃陆之邦」玩玩！
> 瓦雷莎: 我和瓦娜娜会准备好最甜的果子等着你的！

Option 4:

> 旅行者: 那要不试试？
> 瓦雷莎: 咦？我是不是…蘑菇吃太多，出现幻觉了吗…
> 明妮: #不是幻觉哦，的确是旅行者！没想到还能在悠悠度假村见面！
> 旅行者: 你是叫…明妮来着？
> 明妮: 还记得我吗？太好了…感觉又得到了莫大的鼓舞…
> 瓦雷莎: 没错没错，也是我们「炽魂斗士特战队」的首席画师，现在正在创作《炽魂斗士战记》的外传作品。
> 瓦雷莎: 这次明妮可厉害了，一个人跟着冒险家们的车队来纳塔，出了个超级大远门！
> 旅行者: 你家里人不担心吗？
> 明妮: #没事的，还要多亏旅行者、瓦雷莎和希诺宁姐姐，之前你们说服了我的爸爸妈妈，让他们不再那么苛刻。
> 明妮: 越野赛过后，我才找到机会，开始帮教会画公益宣传画，给一些书刊提供插图…
> 明妮: 后来，瓦雷莎把我创作的《炽魂斗士战记》联想故事寄给了八重堂，被著名插画师朝雾老师看到了。
> 明妮: 实在太好运了！朝雾老师非常认可我的画功，还给爸爸妈妈写了信。
> 明妮: 现在，爸爸妈妈也明白，我可以把自己喜爱的绘画当成正经的工作，投入再多时间都值得。
> 旅行者: 还算顺利嘛。
> 瓦雷莎: 我觉得，明妮可以自信一点，你的画功不是运气带来的，而是你自己每天努力的结果。
> 瓦雷莎: 就像…我现在还算不错的摔角技巧，也是跟着伊安珊教练一点点练出来的。
> 瓦雷莎: 朝雾小姐也参与了许多《炽魂斗士》系列作品的插画和漫画，直接和最严格的森子编辑推荐了明妮…
> 瓦雷莎: 正好，有一部《炽魂斗士战记》的外传作品，很长时间找不到画成漫画的合适画师。
> 瓦雷莎: 结果明妮做过笔试题后，直接拿到了九十多分，还破了招募的纪录呢！
> 旅行者: 那还真是厉害！
> 明妮: 谢…谢谢！
> 明妮: 但还不是庆祝的时候…我甚至都没拿出过正式的作品，就被选中来画这么一篇很有分量的连载，心里也很没底…
> 明妮: 我会一边磨砺画技，一边认真完成这部外传的。
> 明妮: 这次纳塔之行，除了和瓦雷莎、希诺宁姐姐还有妮佩卡见面，也是想尽量领略这里的文化，为作品做好考据！
> 瓦雷莎: 嘿嘿，最近我在圣火竞技场卖水果的时候，从龙遗物协会那边获得了不少…古物？
> 瓦雷莎: 总之，我更了解菲耶蒂娜和泰卡在历史上的形象了，甚至是他们龙伙伴和车队的细节！
> 瓦雷莎: 初稿也可以寄给我哦，我也来给你出建议！

Option 5:

> 旅行者: 那要不试试？
> 瓦雷莎: 咦？我是不是…蘑菇吃太多，出现幻觉了吗…
> 明妮: #不是幻觉哦，的确是旅行者！没想到还能在悠悠度假村见面！
> 旅行者: 这位是谁，好像没见过？
> 瓦雷莎: 我简单介绍一下，这位是我们「炽魂斗士特战队」的首席画师明妮，和我一样爱好漫画织卷的朋友。
> 瓦雷莎: 之前我们一起参加了「龙脊雪山越野赛」，还拿了很不错的名次呢！
> 瓦雷莎: 这次，为了画好一部漫画的外传，她专程来纳塔采风的！
> 旅行者: 我先去忙我的了。
> 明妮: 好…也不打扰您了。
> 瓦雷莎: #那旅行者，有空的话，还请再来「沃陆之邦」玩玩！
> 瓦雷莎: 我和瓦娜娜会准备好最甜的果子等着你的！

Option 6:

> 旅行者: 那要不试试？
> 瓦雷莎: 咦？我是不是…蘑菇吃太多，出现幻觉了吗…
> 明妮: #不是幻觉哦，的确是旅行者！没想到还能在悠悠度假村见面！
> 旅行者: 你是叫…明妮来着？
> 明妮: 还记得我吗？太好了…感觉又得到了莫大的鼓舞…
> 瓦雷莎: 没错没错，也是我们「炽魂斗士特战队」的首席画师，现在正在创作《炽魂斗士战记》的外传作品。
> 瓦雷莎: 这次明妮可厉害了，一个人跟着冒险家们的车队来纳塔，出了个超级大远门！
> 旅行者: 那还真是长途跋涉。
> 明妮: #没事的，还要多亏旅行者、瓦雷莎和希诺宁姐姐，之前你们说服了我的爸爸妈妈，让他们不再那么苛刻。
> 明妮: 越野赛过后，我才找到机会，开始帮教会画公益宣传画，给一些书刊提供插图…
> 明妮: 后来，瓦雷莎把我创作的《炽魂斗士战记》联想故事寄给了八重堂，被著名插画师朝雾老师看到了。
> 明妮: 实在太好运了！朝雾老师非常认可我的画功，还给爸爸妈妈写了信。
> 明妮: 现在，爸爸妈妈也明白，我可以把自己喜爱的绘画当成正经的工作，投入再多时间都值得。
> 旅行者: 是个好消息。
> 瓦雷莎: 我觉得，明妮可以自信一点，你的画功不是运气带来的，而是你自己每天努力的结果。
> 瓦雷莎: 就像…我现在还算不错的摔角技巧，也是跟着伊安珊教练一点点练出来的。
> 瓦雷莎: 朝雾小姐也参与了许多《炽魂斗士》系列作品的插画和漫画，直接和最严格的森子编辑推荐了明妮…
> 瓦雷莎: 正好，有一部《炽魂斗士战记》的外传作品，很长时间找不到画成漫画的合适画师。
> 瓦雷莎: 结果明妮做过笔试题后，直接拿到了九十多分，还破了招募的纪录呢！
> 旅行者: 那还真是厉害！
> 明妮: 谢…谢谢！
> 明妮: 但还不是庆祝的时候…我甚至都没拿出过正式的作品，就被选中来画这么一篇很有分量的连载，心里也很没底…
> 明妮: 我会一边磨砺画技，一边认真完成这部外传的。
> 明妮: 这次纳塔之行，除了和瓦雷莎、希诺宁姐姐还有妮佩卡见面，也是想尽量领略这里的文化，为作品做好考据！
> 瓦雷莎: 嘿嘿，最近我在圣火竞技场卖水果的时候，从龙遗物协会那边获得了不少…古物？
> 瓦雷莎: 总之，我更了解菲耶蒂娜和泰卡在历史上的形象了，甚至是他们龙伙伴和车队的细节！
> 瓦雷莎: 初稿也可以寄给我哦，我也来给你出建议！

Option 7:

> 旅行者: 那要不试试？
> 瓦雷莎: 咦？我是不是…蘑菇吃太多，出现幻觉了吗…
> 明妮: #不是幻觉哦，的确是旅行者！没想到还能在悠悠度假村见面！
> 旅行者: 你是叫…明妮来着？
> 明妮: 还记得我吗？太好了…感觉又得到了莫大的鼓舞…
> 瓦雷莎: 没错没错，也是我们「炽魂斗士特战队」的首席画师，现在正在创作《炽魂斗士战记》的外传作品。
> 瓦雷莎: 这次明妮可厉害了，一个人跟着冒险家们的车队来纳塔，出了个超级大远门！
> 旅行者: 你家里人不担心吗？
> 明妮: #没事的，还要多亏旅行者、瓦雷莎和希诺宁姐姐，之前你们说服了我的爸爸妈妈，让他们不再那么苛刻。
> 明妮: 越野赛过后，我才找到机会，开始帮教会画公益宣传画，给一些书刊提供插图…
> 明妮: 后来，瓦雷莎把我创作的《炽魂斗士战记》联想故事寄给了八重堂，被著名插画师朝雾老师看到了。
> 明妮: 实在太好运了！朝雾老师非常认可我的画功，还给爸爸妈妈写了信。
> 明妮: 现在，爸爸妈妈也明白，我可以把自己喜爱的绘画当成正经的工作，投入再多时间都值得。
> 旅行者: 是个好消息。
> 瓦雷莎: 我觉得，明妮可以自信一点，你的画功不是运气带来的，而是你自己每天努力的结果。
> 瓦雷莎: 就像…我现在还算不错的摔角技巧，也是跟着伊安珊教练一点点练出来的。
> 瓦雷莎: 朝雾小姐也参与了许多《炽魂斗士》系列作品的插画和漫画，直接和最严格的森子编辑推荐了明妮…
> 瓦雷莎: 正好，有一部《炽魂斗士战记》的外传作品，很长时间找不到画成漫画的合适画师。
> 瓦雷莎: 结果明妮做过笔试题后，直接拿到了九十多分，还破了招募的纪录呢！
> 旅行者: 那还真是厉害！
> 明妮: 谢…谢谢！
> 明妮: 但还不是庆祝的时候…我甚至都没拿出过正式的作品，就被选中来画这么一篇很有分量的连载，心里也很没底…
> 明妮: 我会一边磨砺画技，一边认真完成这部外传的。
> 明妮: 这次纳塔之行，除了和瓦雷莎、希诺宁姐姐还有妮佩卡见面，也是想尽量领略这里的文化，为作品做好考据！
