# Talk Activity Group: 2034

## Talk

多莉: 这次的委托又耗财又费力，你可一定要记住桑歌玛哈巴依老爷我的好啊！
罗莎娜: 只是有很多新到的客人以为这是酒馆布置的，纷纷过来询问。
罗莎娜: 嗯…要不还是让娜斯米儿到花车那边去招呼客人吧…

## Talk

沙普尔: 醒醒…醒醒！在吗？快回来，别去花车巡游的地方捣乱！
沙普尔: 啊？你说我这根本没有叫醒醒的猫，也没有花车？
沙普尔: 你…你不能看我年纪大就骗我啊，我明明见到了…呃，什么时候来着？

## Talk

巴巴尔: 朋友，听说过花神之舞的传说吗？想感受花神的气息吗？
巴巴尔: 要是觉得花神只会带来帕蒂沙兰的香气可就太狭隘了，须弥的香料怎么可能如此单调？
巴巴尔: 这种复合又神秘的气味，只有这里能够感受到！

## Talk

艾拉姆: 你好，嗯…可以问你一个问题吗？
艾拉姆: 请问你还有那种特殊的糖吗？就是糖塔上散落的那些。
艾拉姆: 我朋友给我拿了一些，糖的味道自然很好，但我更好奇糖衣究竟是用什么材料做的。
艾拉姆: 摸上去十分柔软，又不会因为散开的力量轻易损坏，我在想，是不是也可以把它用在衣服上呢？

## Talk

尼卡: 花神诞祭，花神诞祭！
扎伊: 花神诞祭，花神诞祭！
尼卡: 今天去哪里玩呢？要不要和我一起用节日装饰来打扮驮兽？
扎伊: 好啊！这是养驮兽的人的节日传统吗？
尼卡: 哎？好像…不记得爸爸这样做过…
尼卡: 但你不觉得这样会更有节日氛围吗？
尼卡: 草神大人会保佑树上结出好吃的苹果，这样驮兽们也会开心吧！
扎伊: 哦哦！有道理啊，驮兽穿得漂亮，吃得开心，应该也会变得好吃吧！
尼卡: ？

## Talk

法里芭: 欢迎光临，欢迎光临…
法里芭: 请随意选购，店里有的东西都摆在这里了。
法里芭: 至于花神诞祭纪念品，或者花车模型，本店暂时缺货。
法里芭: 应客人们的要求，商队的管理人说已经在制作了，还请耐心等待。
法里芭: …不过以我的经验来看，等他们做出来之后，节日也差不多结束了吧…

## Talk

西格: 你说，可以向小吉祥草王许愿获得更多更好的藏书吗？
西格: 自从失去了之前的那批藏书之后，我的运气一直不太好啊。
西格: 凡是比较有价值的书都先一步被教令院预定了，没什么价值的书也被教令院拿走了。
西格: 你说我不如直接去智慧宫找份工作？…你别说，我考虑一下…他们那招外国人吗？

## Talk

侯赛因: 他们都说搞些促销活动会更容易招揽客人，确实如此。
侯赛因: 不过这种伎俩也就用在节日期间图个热闹啦，平时还是稳定价格、薄利多销比较好。
侯赛因: 草神大人保佑，接下来的生意更加平稳顺利，不要出什么岔子…

## Talk

娜比雅: 甜蜜是最可怕的诱惑，要懂得享受快乐，但不要沉溺其中哦。
娜比雅: 就像吃多了枣椰蜜糖会蛀牙，过量的甜蜜即是痛苦。
娜比雅: 你看，就连哈鲁特和玛鲁特都懂得这样的道理。
娜比雅: 你看起来是个很幸运的人，但她们却不怎么粘你呢。

## Talk

法莉哈: 你好，我是尼扎姆先生的秘书官，负责记录维齐尔相关的工作纪要。
法莉哈: 如果你看到尼扎姆先生比平时更喜欢唉声叹气，是正常现象。
法莉哈: 城里办活动的时候，事情总是会更多些。
法莉哈: 先不聊了，我要再整理下需要补充的物资。

## Talk

艾维娜: 我觉得，接下来应该再去那边逛一逛！
莲塔: 小姐，恕我冒昧提醒，您的冒险计划…
艾维娜: 哎呀，知道啦，我没有忘记！可现在不是在举办花神诞祭嘛。
艾维娜: 这么重要的节日，我怎么能不全身心投入呢！
莲塔: 不仅是身心的问题吧。如果把钱包都投入进去，可就没有冒险经费咯。
艾维娜: 哎呀，这就是你不懂了。钱这种东西，就是要流动起来才有价值！
莲塔: 唉，这样吗，好吧…

## Talk

法尔扎妮: 是梦吗…还是我又晕船了…我应该还站在地上吧？
法尔扎妮: 这可真是…我度过的最美妙的节日了。
法尔扎妮: 如果是被幸福冲晕，那我想，我可以适应这种眩晕的感觉。

## Talk

阿什克: 就算站得这么高，也仿佛能听到集市的喧闹…
阿什克: 呵呵，看来快乐和花神诞祭上洒落的糖果一样，都能四处传播呢。

## Talk

阿兹拉: 你看到了吧，一定看到了吧！妮露小姐的花神之舞！
阿兹拉: 哎呀，这样美妙的演出，看一次怎么够呢…希望她能每晚出现在我的梦里…

## Talk

鲁克沙: 你好，我是「三十人团」的现任掌旗官，负责统管须弥城内的镀金旅团。
鲁克沙: 祝你节日期间玩得愉快，但也要多加防范。
鲁克沙: 无论大小事务，一旦发现异常，都可以告诉身边巡逻的「三十人团」成员。

## Talk

库什基: 希望草神大人能保佑花神诞祭期间的星象平稳，不生异象…
库什基: 当然，也请保佑下我的脖子…

## Talk

阿尔明: 姐姐，这下你应该相信，兰那罗真的存在了吧！
阿里娜: 不，我们看到的兰那罗，只是草神大人想让我们看到的吧。
阿里娜: 美梦当然很好，但不能把美梦当作现实哦。就像你做梦考试得了满分，醒来之后还是要好好读书的。
阿尔明: 姐姐，又在说可怕的话了…
阿里娜: 只是说出事实罢了。我又要说了，老师明明讲过很多次，兰那罗并不存在。
阿尔明: 可是…万一…老师也有不知道的事情呢…
阿里娜: 唔…我不是说质疑老师不对啦，但我还是想坚持自己的意见。
阿里娜: 阿尔明愿意相信兰那罗也没关系哦，反正你还小嘛。

## Talk

莉拉: 呜呜…奶奶，你看，草神大人都过生日了，我能不能不吃药啊…
塔米娜: 可是，草神大人也希望莉拉身体健康啊，不吃药身体就没法好起来了。
莉拉: 可是…可是…
莉拉: 那…那好吧，但我可以先吃糖，再吃药吗？
塔米娜: 莉拉，最后吃药的话，嘴里可就要一直苦下去咯？
塔米娜: 就连最可怕的镀金旅团都知道先苦后甜的道理，不信我叫他们来教教你？
莉拉: 呜哇——镀金旅团好可怕，我不要——

## Talk

拉米兹: 奶奶，奶奶，您看！须弥城就像塞塔蕾姐姐说的一样热闹！
库尔苏姆: 当然啦。你不要跑得太快，小心和奶奶走散哦。
拉米兹: 嗯，我知道的！这里能逛的地方好多，我会慢慢走，仔细看的。
库尔苏姆: 呵呵…这孩子，玩的时候也和读书时一样认真。
库尔苏姆: 挺好，挺好，认真的人无论做什么都会成功的。
拉米兹: 奶奶，能再请您帮我个忙吗？可以带我去教令院看看吗？
库尔苏姆: 当然，当然。不过那边上坡路很多，等会儿你要扶着奶奶哦。
拉米兹: 没问题！谢谢奶奶！

## Talk

艾登: 唔…糖也吃了，花也看了…接下来…
卡里玛: 接下来？艾登有什么打算吗？
艾登: 嘿嘿…不知道这附近有没有打武器的人？我想买把剑！越大越好！
卡里玛: 欸！？可是，很危险啊…而且，你拿得动吗？
艾登: 不是还有你帮我吗？两个人一起，总能搬回阿如村的！
卡里玛: 那…那我也有想买的东西！艾登也要帮我拿哦！
艾登: 哼哼…你不说我也知道你想买什么。
艾登: 放心，一定帮你挑一个和坎蒂丝姐姐的一样好看的盾。

## Talk

多加: 你好，节日快乐！抱歉我最近放假，有什么木工委托请等节后再说吧。
多加: 须弥的一草一木可都是草神大人的恩赐，所以就在花神诞祭期间，也给草木们放个假吧，哈哈。

## Talk

提纳里: 明天得叫人在禅那园附近望望风…

## Talk

坎蒂丝: 草神大人应该没有发现什么吧…其实刚才还想问问关于宝石的事…

## Talk

珐露珊: 可怜的年轻人…前辈我啊，下次再请他吃顿好吃的吧…

## Talk

卡维: 明明是演戏，为什么刚才不由自主地想着图纸怎么改…唉…乙方做久了…

## Talk

莱依拉: 欸…好像少计算了一个变量，难道要…重新开始…
旅行者: 莱依拉，你还好吗？
莱依拉: #欸…你好旅行者！我没事，我只是看到了星星在眼前旋转…
莱依拉: 不行！花神诞日就要到了，我必须尽快完成论文，然后去现场看花车巡游…
旅行者: 草神大人可不希望你勉强自己。
莱依拉: 嗯…你说得对，说得对…
莱依拉: 再微小的星星也会有它自己的光亮。坚持发光，就一定能被看得到…我还是打起精神，再换一种算法好了…
旅行者: 草神大人一定看得到你的努力。

## Talk

赛诺: 嗯？这不是「阿帽」吗？赛索斯最近常提起你。
#{REALNAME[ID(1)|HOSTONLY(true)]}: 这不是大风纪官吗？你也有劝人去过节的兴趣？
赛诺: 我回教令院查些东西，路过了就和你打声招呼而已。
赛诺: 不过…我对你确实有些兴趣。
#{REALNAME[ID(1)|HOSTONLY(true)]}: ……
赛诺: 你打「七圣召唤」吗？
#{REALNAME[ID(1)|HOSTONLY(true)]}: 不打。
赛诺: 那我就放心了。
#{REALNAME[ID(1)|HOSTONLY(true)]}: 啊？
赛诺: 你知道你打牌的话会发生什么吗？
#{REALNAME[ID(1)|HOSTONLY(true)]}: 我不打。
赛诺: 你的牌…会变成「帽」牌货！
#{REALNAME[ID(1)|HOSTONLY(true)]}: ……

## Talk

斯露莎: 这位绿墩墩，我有问题想问你。
兰萨卡: 兰萨卡…绿墩墩？
斯露莎: 吾等花灵仅是护佑甘露花海就已分身乏术，偌大雨林，你们又是如何守护长达百年的呢？
兰萨卡: 你不是那菈…是只又红又热的小鸟！你想吃东西吗？
斯露莎: 小…小鸟？我们是花灵，平时住在甘露花海。
兰萨卡: 甘露花海？是小红鸟的桓那兰那？
斯露莎: 桓那…什么？总觉得对话重点被微妙地岔开了…
兰萨卡: 小红鸟不坏，可以来桓那兰那做客。兰萨卡给你好吃的。
兰萨卡: 我们一起练兰迦拉梨，一起找暴葬！
斯露莎: 啊…嗯…好…好的…
斯露莎: （是我太久没出花海了吗？都听不懂外面的话了…但好像很厉害的样子…）

## Talk

赛索斯: 喂喂喂，教令院的大家专门邀请你去参加学术派对，你怎么都不露个脸呢？
#{REALNAME[ID(1)|HOSTONLY(true)]}: 哈？我不记得自己做了什么值得被邀请的事。那种聒噪的地方不适合我。
赛索斯: 得了吧，就连我这个不在教令院的人都知道你在「历史批评」和「时政研究」这两个专业圈子里小有名气。
赛索斯: 他们说你为这次的论文提供了许多重要线索与灵感，是个大功臣。这次庆功派对有你一半的功劳呢。
#{REALNAME[ID(1)|HOSTONLY(true)]}: 是我记错了吗？你那地方叫「缄默之殿」还是「絮聒之殿」？
赛索斯: 你就别拐着弯子嫌我唠叨了，就算你不过去，派对上的大家恐怕不久后就会来找你了。
#{REALNAME[ID(1)|HOSTONLY(true)]}: …你告诉了他们我在这里？
赛索斯: 没没没，这点「缄默」我还是有的。他们只是见我和你比较熟，托我来找你而已。
#{REALNAME[ID(1)|HOSTONLY(true)]}: ……
#{REALNAME[ID(1)|HOSTONLY(true)]}: …麻烦死了。带路吧。

## Talk

莱依拉: 每个人脸上都洋溢着笑容…是和星空不同的盛景呢…
旅行者: 莱依拉？
莱依拉: 噢，是你啊。和你见面后她干劲十足，甚至一次也没梦游，总算赶在花神诞日前完成了论文，一提交完就累得睡了过去。
莱依拉: 我看到她在论文最后的致谢里写了这样一段话——
莱依拉: 「星星间的相互作用有时会对对方产生强大的助力，甚至改变行进的轨道…」
莱依拉: 「若从占星学的角度类比，人与人的交往也是如此。以笔者为例，遇到同频之人，也许就能造就奇迹。」
莱依拉: 至于我嘛…我会负责把这幅景象记录成画片，放去她的书桌上。

## Talk

莱依拉: 每个人脸上都洋溢着笑容…是和星空不同的盛景呢…
旅行者: 莱依拉？
莱依拉: 是我。赶作业的那位才把她的论文交了上去，现在算是在休息。
莱依拉: 虽然很遗憾错过了今年的花车巡游，但她的毅力与决心值得嘉奖。
莱依拉: 所以，我会负责把这幅景象记录成画片，放去她的书桌上。

## Talk

坎蒂丝: #旅行者，风沙没有吹进你的衣袖里吧？快请在我身旁坐下。
旅行者: 坎蒂丝是在…
坎蒂丝: 我在练习一首古老的曲子，我喜欢它曼妙的旋律，尽管它真正的结尾已在黄沙中佚失。
坎蒂丝: 过往我所做的，是重复演奏我能记住的段落。一遍，然后再来一遍。
坎蒂丝: 但今夜我正试图用我的理解，为它附上一个合适的结尾。
坎蒂丝: 或许是热闹的花神诞祭让心境发生了些许改变吧？我想有些故事适合被继续书写下去…
坎蒂丝: 有些记忆，即使模糊也不会改变其珍贵的本质。
旅行者: 这就回来了吗？
坎蒂丝: 听起来，我们的「花之骑士」仍有些意犹未尽。
坎蒂丝: 阿如村离不开我，而我也离不开它。
坎蒂丝: 我很荣幸能与大家共度一段愉快的节日时光，但回归生活本身并不是件需要落寞的事。
坎蒂丝: 打起精神，笑一笑吧。
坎蒂丝: 看看天边的云你就会明白，明天也一定会是个晴朗的好日子。
旅行者: 还有别的事…
坎蒂丝: 嗯，愿今日的欢笑一直留存在你我心中。

## Talk

纳西妲: 你回来找我了呀！这块枣椰蜜糖，我们一起分着吃吧。
旅行者: 纳西妲在等我吗？
纳西妲: 哎呀，这次轮到我的心事被你看穿了？
旅行者: 没有留下遗憾吧？
纳西妲: 当然啦，我度过了一个特别棒的生日。就像一只来到了谷仓的小鸟，被所有人的善意和温暖围绕着。
纳西妲: 不论是远道而来的花灵，兰那罗，还是我亲爱的朋友们，我都已经感谢过大家了。
纳西妲: 不过…我注意到了哦，你果然还有什么事在瞒着我吧？
旅行者: 有…有吗？
纳西妲: 没关系的，不用紧张。
纳西妲: 既然你想要让它成为秘密，那我一定会相信你的判断。
纳西妲: 你可是我的花之骑士啊。
旅行者: 晚宴上玩得开心吗？
纳西妲: 当然。回想起来，每道菜肴都有令人惊喜的风味，就像不打开盒子就猜不中结果的雅尔达糖果那样。
纳西妲: 但我那时的心思却不在食物上，总觉得光看大家脸上的笑容就足以填饱肚子了。
纳西妲: 令我们幸福的不是盛宴，而是氛围本身吧。
旅行者: 先不聊了…
纳西妲: 好。说不定哪天的梦里，我就会来找你玩喽？

## Talk

麦斯欧德: 异乡的旅者，「花车摇曳」的历险体验如何？
旅行者: 先来一场再说。
麦斯欧德: 好呀，跟着花车的节奏摇摆吧。
旅行者: 有一些小建议…
麦斯欧德: 您请说，我好好记着。
旅行者: 花车的速度太慢了。
麦斯欧德: 看来您经历过非常惊险的竞速挑战，喜欢速度带来的感官刺激。
麦斯欧德: 不过，「花车摇曳」是对普通大众开放的游戏，很多孩子、女士和老人的反应力并没有那么快。
麦斯欧德: 针对您的需求，我可以尝试开发一款「镀金旅团沙漠迷宫大逃亡」，大幅加快行驶速度。
麦斯欧德: 到时应该能满足您对速度的需求。
旅行者: 历险中的难题有点少。
麦斯欧德: 我想想，您似乎更倾向于高难度的挑战，对克服难题抱有极大的热情。
麦斯欧德: 不过，「花车摇曳」毕竟是在悠闲节日开放的活动，很多游客只想玩些简单轻松的小游戏。
麦斯欧德: 毕竟大部分人不会花特别多的时间去钻研一个刚看到的游戏，玩法太复杂的话，玩一小下就把人家吓跑了。
麦斯欧德: 针对您的需求，我可以尝试开发一款「巡林员蘑菇大冒险」，增加各种障碍，甚至移动解谜。
麦斯欧德: 到时应该能满足您对难度的需求。
旅行者: 行驶中没有战斗。
麦斯欧德: 啊呀，看来您比较喜欢在冒险中击败强敌的体验。
麦斯欧德: 不过，要是在这款游戏中加入与敌人战斗的环节，重点似乎就不再是花车的行驶了，而是载具射击的综合体验。
麦斯欧德: 有人喜欢单纯的行驶体验，有人喜欢载具战斗，都可以理解！
麦斯欧德: 针对您的需求，我可以尝试开发一款「大风纪官疾速追杀」，设计各种追逐战和拦截战环节。
麦斯欧德: 到时应该能满足您对战斗的需求。
旅行者: 「幻之玩具王」的称号很威风。
麦斯欧德: 是吗？多谢夸赞！这是我从祖母那里继承来的称号，我非常喜欢！
麦斯欧德: 一听别人提到「幻之玩具王」，我就想起自己童年时期就确定的人生目标——做出让大家都快乐的玩具。
麦斯欧德: 这把老骨头也能迸发出无尽的活力。
旅行者: 你的祖母？
麦斯欧德: 很久很久以前，祖母曾意外造访一处秘境，在那里结识了奇妙的朋友，获得了近乎无限的灵感。
麦斯欧德: 回到须弥后，她就开发了许多种特色玩具。
麦斯欧德: 可惜，她只想着实现华丽、复杂的玩法，没太注意须弥孩子们的接受能力，对市场的经济条件也缺乏全面考察。
麦斯欧德: 真要客观评价，她的作品只在有限的客人群体中得到了认可，虽然名声不错，但暂时没法给广义的大众带来简单的快乐。
旅行者: 接受能力？
麦斯欧德: 简单来说，来买玩具的孩子分布在各个年龄段，学习能力不能一概而论。
麦斯欧德: 有的玩具太复杂，或游玩规则太多样，青少年甚至都要花上不少时间来记忆，孩子们看了当然会一头雾水。
麦斯欧德: 祖母太过热情，在这一点上有所疏忽，做的有些过火，导致玩具的销量不怎么出彩。
麦斯欧德: 我觉得，这既不是祖母的错，也不是孩子们的错，只是双方彼此不适应。
麦斯欧德: 要是祖母把玩具的定位改为成年人市场，情况也许就会不一样了。
旅行者: 经济条件？
麦斯欧德: 这个问题非常复杂，老实说，我查阅了很多学者的著作，也不知道该怎么评估——
麦斯欧德: 想把玩具做得更精致更巧妙，就需要投入更多资金，导致玩具涨价…就像发条玩具不可能和一般的折纸模型卖相同的价钱。
麦斯欧德: 可到底涨价多少，我和祖母都没搞明白。大家腰包里到底有多少摩拉，愿意出多少钱买玩具，这件事只有他们自己清楚。
麦斯欧德: 客人的心情也很重要，要是对玩具有眼缘，一些客人甚至愿意多出几成价钱，要是没眼缘，客人就等着打折，不存在客观标准。
麦斯欧德: 祖母就犯了这样的错，虽然她已经尽量压低玩具的售价了，但还是多次碰壁，所以我要尽可能在品质、成本和售价间找到平衡。
麦斯欧德: 总之，我这几十年来一直过得很快乐，都要多谢祖母，她设计或买来的玩具多到我玩不过来。
麦斯欧德: 她还在世时，只要有空，就会陪我一起玩玩具…
麦斯欧德: 咳，不回忆过去了…总之，我要尽全力把这种快乐带给更多人！
旅行者: 以后再说，还有别的事…
麦斯欧德: 无妨，玩具的快乐随时等候着您！

## Talk

陀罗诘利: 感谢您的协助，这次的临床试验很重要。如果您准备好了话，请随时告诉我。
旅行者: 准备好了。
旅行者: 还没准备好。
陀罗诘利: 没关系，等您做好全盘准备我们再开始。
陀罗诘利: 待到您和患者们从梦中醒来之后，我们会坚持长期回访，试验效果好的话应该能观察到良好的长期影响。

## Talk

柯林伍德: 戒酒是戒不了的，这酒吧，它喝多了伤肝，喝少了伤心。
柯林伍德: 难啊，不喝不行。

## Talk

幼光: 这辈子从来没有这么害怕过走镖，我也不想打哆嗦啊，是这腿它不听使唤。
幼光: 谁来…岩王爷保佑！岩王爷救救我！

## Talk

樋口铁矢: 赌上我作为妖怪小说家的尊严，怎么着都会写完跟读者约定好的《百妖物语》！
樋口铁矢: 但是天狗写过了、狸妖写过了…这也凑不满一百种妖怪啊，要命，我需要妖怪，新鲜的妖怪！

## Talk

涅提: 好混乱的实验室，要是有个助手帮忙就好了。唉，我都一把年纪了…
涅提: 要不过两年回须弥争取退休返聘吧，这个实验室我是待不下去了。

## Talk

比于什: 一切设计要素都应该按照某种秩序排列，这是我的设计原则。
比于什: 所有反人类的不对称建筑设计都应该被消灭，狠狠地消灭！

## Talk

毗伽尔: 尊贵的花之骑士，有什么需要我们支援的吗？
萨费伊: 每一幕打戏只需要遵循基本主题就行，动作都由专业的您自由发挥，不用在意我们原本的设计。
旅行者: 那我多拍拍。
萨费伊: 哈哈，请尽情施展您的战斗才华，隐藏在场地各处的留影机会将您的飒爽身姿全都记录下来！
萨费伊: 我们的场地造型参考了冒险家传说中的危险秘境，说不定还能为您带来一些战斗的灵感呢！
旅行者: 我以前是不是见过毗伽尔？
毗伽尔: 您还记得我，真是我的荣幸。
毗伽尔: 以往的花神诞祭上，我扮演过几次没有花车的花之骑士，主要负责给孩子们发糖。
毗伽尔: 这次有比我更合适的花之骑士扮演者，我就本色出演一次「糖之骑士」好了。
萨费伊: 也挺好的，我看孩子们都很喜欢这个称号，你多年来不懈发糖的形象已经深入人心了。
毗伽尔: 那等到这部映影上映，我还能拿到…「映影骑士」之类的新称号吗？
萨费伊: 导演的名字写你，制作人的名字写我，咱俩谁当「映影骑士」还不好说呢。
旅行者: 关于映影的进度…
毗伽尔: 如您所见，这才刚刚开始。
毗伽尔: 由于「战斗」是这部映影的主题，我们决定先拍摄打戏，在能够实现的基础上确定关键的镜头语言、光影、调色等风格…
毗伽尔: 然后再用这些确定了的事项，去确定文戏的拍摄细节，这样就能尽可能避免…「做不到」或「拍不出来」的问题了。
萨费伊: 所以拍摄文戏要等到打戏的后期处理完毕，估计是很久以后的事了。
旅行者: 真机灵！
萨费伊: 哪里哪里，都是之前在枫丹考察时学到的小技巧，我们需要努力的事情还很多！
旅行者: 真保险！
旅行者: 下次再来！
毗伽尔: 您慢走！麻烦您记得安排一些空闲时间，来把几个打戏桥段拍完…我们感激不尽！
