# 幽林雾道


## Talk 1

刻字的石碑: （大部分字迹被磨毁，仅能依稀辨识出——「…清露…歌于幽林雾道…」）
派蒙: 呃…你是珀西芙？还是你叫珀西芙？等等…我肯定会被你的答案弄得更晕…
派蒙: 我决定就叫你珀西芙了，好不好？
珀西芙: 美露莘…
派蒙: #{NICKNAME}…怎么办？我完全搞不懂她的意思，她到底在说什么…
旅行者: 你能听懂我们的话，对吗？
珀西芙: 珀西芙…
旅行者: 这滴水珠是钥匙，对吗？
珀西芙: 珀西芙。
旅行者: 你不是人，对吗？
珀西芙: 珀西芙！
派蒙: 呃…突然骂人不太好吧…
旅行者: 我不是人，对吗？
珀西芙: 美…美露莘？
派蒙: 啊！等等，我好像有点听出来了…「珀西芙」的意思是肯定，「美露莘」的意思是否定，难道是这个意思？
珀西芙: 珀西芙！珀西芙！
派蒙: 原来你不是叫珀西芙…对不起，我搞错了你的名字。
珀西芙: 珀西芙…喜欢…
旅行者: 你喜欢这个名字？
珀西芙: 珀西芙！
派蒙: #太好了！那就这么叫你了，嘿嘿。我是派蒙，这是{NICKNAME}，很高兴认识你，珀西芙，我还没见过你这样的美露莘呢。
珀西芙: #派蒙，珀西芙！{NICKNAME}，珀西芙！
珀西芙: 伊黎耶…美露莘…
派蒙: …伊黎耶否定？呃…
旅行者: 伊黎耶岛不好了？
珀西芙: 伊黎耶，美露莘，现在…
珀西芙: 珀西芙，伊黎耶，保护…
派蒙: 伊黎耶岛正在变得不好，然后，你要保护它？
珀西芙: #派蒙，{NICKNAME}，伊黎耶，邦邦，邦邦…
派蒙: #呃…这次有五个词，呃…你希望派蒙和{NICKNAME}给伊黎耶岛邦邦邦邦来两下子？
珀西芙: 美露莘！
旅行者: 你希望我们帮忙？
珀西芙: 珀西芙！
派蒙: 原来是帮忙呀，幸好幸好，如果要让我们给这座岛来两下子，那真的挺难办的…
珀西芙: 邦邦，邦邦…
旅行者: 有报酬吗？
珀西芙: 报…酬？
派蒙: #哎呀，{NICKNAME}，你看珀西芙都不太会说话，肯定找不到其他人帮忙了，我们就帮帮她吧？
旅行者: 那要怎么帮忙？
珀西芙: 钥匙，钥匙，钥匙，数量。
派蒙: 然后呢？钥匙的数量是？
珀西芙: 钥匙！钥匙！钥匙！
旅行者: 三把钥匙？
珀西芙: 珀西芙！钥匙，雾道，南…
珀西芙: 钥匙，泉眼，北…
珀西芙: 钥匙，垂柳，东…
派蒙: 哦，原来是这个意思…那我先记一下…一共有三把钥匙，分别是南边的雾道，北边的泉眼，东边的垂柳…是这样吧？
珀西芙: 钥匙，钥匙，钥匙，广场，西。
派蒙: 西边的广场还有三把钥匙？
旅行者: 集齐三把钥匙去广场？
珀西芙: #派蒙，美露莘！{NICKNAME}，珀西芙！
派蒙: #哎呀，珀西芙，你不要老是说这种显得{NICKNAME}比我聪明的话嘛！明明我和{M#他}{F#她}差不多聪明才对！
派蒙: 总而言之，现在我们已经得到一把钥匙了，看来只要再弄到另外两把就好了。
珀西芙: 伊黎耶，美露莘…珀西芙，保护！
派蒙: 你放心啦，虽然不知道发生了什么，但我们会帮你保护伊黎耶岛的。
派蒙: 不过我再补充一小点哦，珀西芙，假如你碰巧看见一种没人要的，金灿灿的，圆滚滚的东西，或者一看就很贵的箱子…
派蒙: 能跟我们说一声就再好不过啦！
黑屏文本: 珀西芙似懂非懂地摸了摸头，又高兴地蹦跳了两下，然后略显匆忙地离开了。
派蒙: #啊，她就直接跑掉了，看来是很紧急的事啊。{NICKNAME}，我们现在就去寻找另外两把钥匙吧？
旅行者: 那要怎么帮忙？
旅行者: 说不定是别人存放在这里的。
派蒙: 什么？完蛋了，那我们不就成小偷了？对不起对不起…我们快把东西放回去吧…
珀西芙: 啊…
派蒙: 完蛋了！主人回来了！
珀西芙: 主人？美露莘。

## Talk 4

神秘祭坛: （大部分字迹被磨毁，仅能依稀辨识出——「…清露…三…」）
派蒙: 可恶，这上面的字也被毁掉了，一定有秘密！
旅行者: 清露？
派蒙: 「清露」是什么意思？清清的露水？可是这附近到处都是水啊？
派蒙: 至于这个「三」字，该不会是指三滴水吧？真头痛…
旅行者: 快问问你的绝对敏锐宝藏嗅觉啊！
派蒙: 已经问过了！总之…总之…
派蒙: 总之它说跟「三」和「水」有关嘛，我们应该在附近找一找！
旅行者: 三？
派蒙: 「三」是三个东西的意思吗？
派蒙: 至于「清露」，难道是清清的露水？可是这附近到处都是水…真头痛…

## Talk 5

派蒙: 太好了，又拿到了一把钥匙，接下来只要找到最后一把钥匙就好了。
珀西芙: 钥匙，钥匙，珀西芙！
派蒙: 哇，珀西芙，你是怎么突然冒出来的！
珀西芙: 无影踪，珀西芙。
派蒙: 好吧…你真是我见过的最特别的美露莘…对了，我印象中的美露莘，大多都生活在枫丹廷或者海沫村…你怎么会在这里呢？
珀西芙: 枫丹廷？海沫村？
派蒙: 看你好像很疑惑的样子，你没听过这两个名字吗？
珀西芙: 枫丹廷，美露莘…海沫村，美露莘…
珀西芙: 啊…伊黎耶，珀西芙，家乡。
珀西芙: 伊黎耶，珀西芙，守护！
派蒙: 等等，你说这里是你的家乡？你在守护你的家乡？
珀西芙: 珀西芙！
旅行者: 可是美露莘的家乡是海沫村吧？
派蒙: 是啊，好奇怪，还有出生在别的地方的美露莘吗？可这里看起来也没有其他美露莘了吧？
派蒙: 珀西芙，你都是一个人生活在这里的吗？
珀西芙: 一个人？美露莘。那位来客！珀西芙！
派蒙: 那…那位来客？还有一位来客？哪位来客？
珀西芙: #那位来客！派蒙，派蒙，{NICKNAME}，{NICKNAME}，那位来客，那位来客！
旅行者: 所以那位来客是谁？
派蒙: 珀西芙…你不会是想说，就像派蒙叫派蒙一样，那位来客就叫那位来客？
珀西芙: 珀西芙！
派蒙: 啊哈！果然是这样，我就说，我也是很聪明的嘛。
旅行者: 这名字太怪了。
旅行者: 这名字太酷了。
珀西芙: 那位来客，珀西芙，知识，邦邦。
派蒙: 嗯…你是说那位来客帮你学会知识？
珀西芙: 珀西芙！十分很多。语言，智慧…十分很多。
派蒙: 呃，我怎么感觉其实也没有很多…
珀西芙: 珀西芙，那位来客，守护，邦邦。
派蒙: 他也在帮你守护这里？
珀西芙: 美露莘…
旅行者: 是你帮他守护这里？
珀西芙: 珀西芙！
派蒙: 居然是这样…那位来客究竟是什么人？他为什么需要你帮他守护这里？
派蒙: 而且这里确实发生了一些不好的事，我们看到的石碑，上面的字都被人毁掉了，而且刚才也看见了不少污秽…是敌人吗？
珀西芙: 好奇派蒙，珀西芙！但是时间，十分很不多。
珀西芙: 钥匙，钥匙，钥匙，广场，西。邦邦，邦邦…
旅行者: 我们会尽快！
珀西芙: #派蒙，珀西芙！{NICKNAME}，珀西芙！
黑屏文本: 珀西芙高兴地蹦跳了两下，然后略显匆忙地离开了。
派蒙: 看来时间真的很紧张，好在我们已经有了两把钥匙了，赶紧一鼓作气拿到第三把钥匙吧！
