# 特别的朋友


## Talk 1

#{REALNAME[ID(2)|SHOWHOST(true)]}: 呀呀！
「半熟蛋」 (警惕的匿叶龙): 呜！
派蒙: 小孩子总归要靠自己努力尝试才能成长起来，嗯。
#{REALNAME[ID(2)|SHOWHOST(true)]}: 呀！
瓦达娜: 看它信心满满的样子应该是不用太担心了，那我就回去休息咯。遇到问题再来找我…
瓦达娜: 哦，不过找我应该不如找「半熟蛋」有用，要说绵驮兽还是它最了解了，哈哈，开个玩笑。小家伙，希望你交朋友顺利呀。
旅行者: 没事，它们不愿意还有我们在。
派蒙: #虽然知道你是想让{REALNAME[ID(2)|SHOWHOST(true)]}即便失败了也不用太难过…但是也不用一开始就这么悲观吧！
派蒙: #小孩子就是要多鼓励才会健康成长的，所以多夸夸它吧！{REALNAME[ID(2)|SHOWHOST(true)]}肯定可以的！加油！
旅行者: 想过田园牧歌的生活…
瓦达娜: 那你来对地方了。像我一样把工作都交给龙，就可以逍遥自在啦。

## Talk 4

呆呆的绵驮兽: ……
呆呆的绵驮兽: …嗯？

## Talk 5

#{REALNAME[ID(2)|SHOWHOST(true)]}: 呜…呀？
活泼的绵驮兽: 嗯嗯——
#{REALNAME[ID(2)|SHOWHOST(true)]}: 呜…呜呜…
派蒙: 该、该不会是因为我们之前和「半熟蛋」的误会让它记恨了吧…
派蒙: #误会已经发生了那也没办法，{REALNAME[ID(2)|SHOWHOST(true)]}，我们去别处试试吧！

## Talk 6

#{REALNAME[ID(2)|SHOWHOST(true)]}: 呀！
呆呆的绵驮兽: ……
#{REALNAME[ID(2)|SHOWHOST(true)]}: 唔…？呀！呀呀！
呆呆的绵驮兽: ……
呆呆的绵驮兽: …嗯？
#{REALNAME[ID(2)|SHOWHOST(true)]}: 呀！
呆呆的绵驮兽: ……
#{REALNAME[ID(2)|SHOWHOST(true)]}: 呜…
旅行者: 看起来希望不大。
派蒙: #呃…也有这种情况啦！{REALNAME[ID(2)|SHOWHOST(true)]}也别灰心，肯定还有机会的！

## Talk 7

#{REALNAME[ID(2)|SHOWHOST(true)]}: 呀！
贪吃的绵驮兽: 嗯嗯——
#{REALNAME[ID(2)|SHOWHOST(true)]}: 呜呜…
派蒙: #看来这次是真的打扰到用餐了…哎呀都怪时机不好，{REALNAME[ID(2)|SHOWHOST(true)]}别丧气，我们再去别处碰碰运气！

## Talk 8

#{REALNAME[ID(2)|SHOWHOST(true)]}: 呀！
胆小的绵驮兽: 嗯…
派蒙: 欸？怎么在这里还有一只绵驮兽？
#{REALNAME[ID(2)|SHOWHOST(true)]}: 呀！呀呀！
派蒙: 它这是怎么了？是被困在下面上不来了吗？

## Talk 9

贪吃的绵驮兽: 嗯嗯——

## Talk 10

活泼的绵驮兽: （看起来还在生气…）

## Talk 11

#{REALNAME[ID(2)|SHOWHOST(true)]}: 呀！
黑屏文本: #在{REALNAME[ID(2)|SHOWHOST(true)]}听起来像是鼓励的「呀！呀！」声中，胆小的绵驮兽沿着刚才搭好的木板爬了上来…
胆小的绵驮兽: 嗯…嗯——
#{REALNAME[ID(2)|SHOWHOST(true)]}: 唔？呀！呀呀！
黑屏文本: #面对热情的{REALNAME[ID(2)|SHOWHOST(true)]}，看起来十分胆小的绵驮兽没有表现出害怕的样子，反而是弯下身子用鼻尖轻轻碰了碰{REALNAME[ID(2)|SHOWHOST(true)]}…
#{REALNAME[ID(2)|SHOWHOST(true)]}: 呜…呀！
派蒙: 嘿嘿，这样算是表示感情不错吧？
旅行者: #{REALNAME[ID(2)|SHOWHOST(true)]}的朋友就是我的朋友。
派蒙: 也是我的朋友！不对不对，你这是在和谁较劲啦。
派蒙: 不过它独自在这边还是有点危险吧？还是和瓦达娜讲一下这件事好了。
派蒙: #她要是知道{REALNAME[ID(2)|SHOWHOST(true)]}交上绵驮兽朋友了，肯定也会替{REALNAME[ID(2)|SHOWHOST(true)]}高兴的！
旅行者: 有点羡慕…
派蒙: 嗯？一时之间居然不知道你羡慕的究竟是哪边！

## Talk 12

瓦达娜: 你回来啦小家伙，怎么样，交到绵驮兽朋友了吗？
#{REALNAME[ID(2)|SHOWHOST(true)]}: 呀！呀呀！
瓦达娜: 嗯嗯，看你高兴的样子，我也跟着高兴起来了，真好！
派蒙: #瓦达娜也该多关心一下绵驮兽啦，和{REALNAME[ID(2)|SHOWHOST(true)]}交上朋友的那只绵驮兽刚才在好危险的地方呢。
瓦达娜: 哎呀，是这样吗？得告诉「半熟蛋」，让它以后多注意一下才行。
旅行者: 你也太放松了吧。
瓦达娜: 是啊，我已经过上了理想的生活，恭喜我吧！
瓦达娜: #对了，旁边的绵驮兽玩具，{REALNAME[ID(2)|SHOWHOST(true)]}要是喜欢就送给你们好啦。
#{REALNAME[ID(2)|SHOWHOST(true)]}: 呀呀！
派蒙: #{REALNAME[ID(2)|SHOWHOST(true)]}还真是不客气啊。那就谢谢瓦达娜了！
瓦达娜: 小事小事，也欢迎你们常来玩呀。
旅行者: 「半熟蛋」也太辛苦了…
瓦达娜: 辛苦是辛苦…不过它生性就爱操心，你要是不让它看管这些绵驮兽，它反而会焦虑到掉毛呢。
瓦达娜: 所以现在这样是最好的，它完成了工作会很满足，我也乐得轻松自在，很不错吧？

## Additional Conversations

*Conversations not present as sub-quests.*


### Additional Talk 1

胆小的绵驮兽: （看起来没那么害怕了…）

### Additional Talk 2

「半熟蛋」: 一只、两只、三只、四只。
「半熟蛋」: 四只…它又躲起来了，躲到哪里去了？

### Additional Talk 3

胆小的绵驮兽: （看起来很害怕的样子…）

### Additional Talk 4

「半熟蛋」: 呜！
